DATE,ROOM,BANDS,ADV,DOS,TOTAL ADV,ADV IN,NEED,LEFT,TOTAL DOS,DOS IN,FINAL,FINAL NEED ,CLE TAX TAKEN,BAND PAYOUT,TOTAL COUNT,REMAINING,BAR RINGS,,,
8/12/18,MAHALL'S,Tacocat,$12.00,$12.00,60,$720.00,"$1,550.00",$830.00,66,$792.00,"$1,512.00",$38.00,N/A,"$1,550.00",126,-$38.00,N/A,,,
8/15/18,TAVERN,Nicole Atkins,$15.00,$15.00,37,$555.00,$900.00,$345.00,16,$240.00,$795.00,$105.00,N/A,$900.00,53,-$105.00,$729.55,,,
8/16/18,BALLROOM,Shawn & Shelby,$5.00,$7.00,2,$10.00,$120.00,$110.00,24,$168.00,$178.00,-$58.00,$7.12,$120.00,26,$50.88,$420.13,,,
8/17/18,TAVERN,Poro,$8.00,$12.00,16,$128.00,$102.40,-$25.60,35,$420.00,$548.00,-$445.60,N/A,$400.00,51,$148.00,$681.30,,,
8/23/18,BALLROOM,Mt. Joy,$15.00,$18.00,234,"$3,510.00","$2,457.00","-$1,053.00",54,$972.00,"$4,482.00","-$2,025.00",$179.28,"$3,017.70",288,"$1,285.02","$2,727.45",,,
8/25/18,TAVERN,Great Lake Swimmers,$15.00,$18.00,45,$675.00,"$1,200.00",$525.00,23,$414.00,"$1,089.00",$111.00,N/A,"$1,200.00",68,-$111.00,"$1,004.75",,,
8/28/18,TAVERN,Collin Miller,$8.00,$10.00,9,$72.00,$650.00,$578.00,72,$720.00,$792.00,-$142.00,N/A,$650.00,81,$142.00,"$1,248.78",,,
8/29/18,TAVERN,Native Sun,$10.00,$12.00,0,$0.00,$0.00,$0.00,16,$192.00,$192.00,-$192.00,N/A,$134.40,16,$57.60,$387.76,,,
8/30/18,BALLROOM,Foxing + Ratboy,$15.00,$17.00,236,"$3,540.00","$4,000.00",$460.00,47,$799.00,"$4,339.00",-$339.00,$173.56,"$3,850.00",283,$315.44,"$2,117.93",,,
9/9/18,BALLROOM,Coco Montoya,$18.00,$20.00,126,"$2,268.00","$1,500.00",-$768.00,9,$180.00,"$2,448.00",-$948.00,$97.92,"$1,500.00",135,$850.08,"$1,554.73",,,
9/11/18,BALLROOM,LIZ PHAIR *SOLD OUT,$32.00,$32.00,500,"$16,000.00","$12,000.00","-$4,000.00",0,$0.00,"$16,000.00","-$4,000.00",$640.00,"$12,000.00",500,"$3,360.00","$4,916.85",,,
9/14/18,TAVERN,Laurel & the Love-In,$10.00,$12.00,39,$390.00,$273.00,-$117.00,9,$108.00,$498.00,-$225.00,N/A,$348.60,48,$149.40,$643.52,,,
9/17/18,TAVERN,The Nude Party,$10.00,$12.00,13,$130.00,$91.00,-$39.00,33,$396.00,$526.00,-$435.00,N/A,$368.20,46,$157.80,$941.70,,,
9/18/18,TAVERN,Lindi Ortega,$15.00,$20.00,46,$690.00,"$1,150.00",$460.00,19,$380.00,"$1,070.00",$80.00,N/A,$850.00,65,$220.00,$892.21,,,
